case_id,task_family,source_dataset,expected_output,model_slot,provider,model_id,n_repetitions,ECS,EVR,EDI
OE-001,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.28061676285485454,0.7432841872295779,0.7169813581262562
OE-001,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.3131097907928019,0.691874094459612,0.7773189709448397
OE-002,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.2845562845863935,0.6899941307092013,0.6583127028270223
OE-002,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.37604187752595947,0.6382522216026223,0.5469762840358448
OE-003,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.46957019265546124,0.5363295397215389,0.5640454182279724
OE-003,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.262533064860874,0.7395202042959594,0.7118487040354766
OE-004,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.5426047817922924,0.4657737279963813,0.4055966682400407
OE-004,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5785968764308315,0.39809438743240166,0.3944600943970756
OE-005,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.4697909362990627,0.5157429505176758,0.5351964533184383
OE-005,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.38629997686543327,0.5957559634011376,0.595481704854673
OE-006,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.47055109134699225,0.566084580165605,0.5487040098762135
OE-006,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.45188676369993636,0.5404965931274233,0.5267912127514063
OE-007,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.4085613063057415,0.6000388964298194,0.5205389870532796
OE-007,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.46231291823895376,0.526854158967507,0.5418465223225587
OE-008,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.2676825269941535,0.7251952239890939,0.6934184967804833
OE-008,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.1261635507811776,0.9188418769119453,0.8831659778295817
OE-009,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.5633675239055858,0.42108330151059814,0.4177918089772097
OE-009,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.42323921508261897,0.6196870976033755,0.5636921297178645
OE-010,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.297628982575204,0.6863220803772028,0.7254571517064865
OE-010,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.20933409458243166,0.8220369287219464,0.7574750446282498
OE-011,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.38162677836511294,0.5890815344510856,0.6313241474486826
OE-011,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.23712347175970666,0.8160306586603046,0.7093331753221632
OE-012,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.37672856936690097,0.6170909371917895,0.6454986843066471
OE-012,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.3453776922703827,0.7090123010154479,0.622980152791472
OE-013,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.512463905387963,0.4657463290494229,0.548581543876219
OE-013,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5046917339688202,0.49211288341533804,0.5386992916147991
OE-014,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.6285661389682764,0.38083375042569184,0.35985502062115027
OE-014,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.48357172583079244,0.5106731241240685,0.5722402680658676
OE-015,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.3543241031612542,0.6625717615995552,0.6097698609885243
OE-015,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.3139948945799539,0.6870977727541561,0.697510978937619
OE-016,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.4606047364916043,0.47656018880754214,0.6135512952427522
OE-016,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.368529605087237,0.634231841813252,0.5993458713163105
OE-017,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.6473553229154827,0.34282856094757086,0.3817698275587239
OE-017,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.6831172630397546,0.2680945539454409,0.3342484328668377
OE-018,open_ended_reasoning,UltraChat,not_applicable,gpt54,openai,gpt-5.4,5,0.4702797690852643,0.5109990349468645,0.5266199952474802
OE-018,open_ended_reasoning,UltraChat,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.31804546440354103,0.6311722600412355,0.6877160425511315
OE-019,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.5825221375144733,0.42536674463837126,0.43019923671502336
OE-019,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5717110474940871,0.46946637610931174,0.3929138263043824
OE-020,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.4794295284510789,0.4971518818000539,0.5923579060688215
OE-020,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.4870242754205285,0.5846414206401638,0.4822846557667923
OE-021,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.3120790720451339,0.7059985235124273,0.6785065403342155
OE-021,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.2124458986607963,0.8389272604484923,0.7794166878457637
OE-022,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.46738925583908275,0.547943409957468,0.5021282612055261
OE-022,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.3518154988047205,0.7002949542831276,0.6119215221082995
OE-023,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.8956698329492383,0.10044932419597191,0.09527280693954654
OE-023,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.8062457174866786,0.19349579672557962,0.19973572716480467
OE-024,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.6047812255493481,0.39380914269196343,0.3417177751800872
OE-024,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.33197077332632774,0.6728389286901256,0.6439252925056516
OE-025,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.4055644269027458,0.6208044047323602,0.5749603041203868
OE-025,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.30482323720055876,0.6760916469502646,0.6691778079813423
OE-026,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.8299054889023522,0.17789791670477484,0.14636782271899382
OE-026,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.8571775487027591,0.1403925025173532,0.13993192633110682
OE-027,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.6664649164261242,0.35409684305881217,0.33179300342110096
OE-027,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5184459351658619,0.5478218321407727,0.39420167749859686
OE-028,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.4827202445692089,0.5351019062831528,0.4811304645550357
OE-028,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.4532606372875261,0.5783531086324321,0.5498825680452611
OE-029,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.27770268536293097,0.7056882888176034,0.7802690187511616
OE-029,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.350655460647242,0.5979088099541494,0.6676409024573252
OE-030,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.5076397053736261,0.5179407234350306,0.5205443182584792
OE-030,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.43219229049792734,0.5533379611875895,0.5302609591003786
OE-031,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.7912296540664046,0.2030799455483999,0.18668426539947827
OE-031,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5335793383195153,0.4430564663716625,0.5678510142390605
OE-032,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.36688285788883723,0.5970616504592998,0.6436457843366754
OE-032,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.4306884457007845,0.5383760915208388,0.5477719298172268
OE-033,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.4525507264112855,0.5035540010549527,0.5401316489793606
OE-033,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5101995585472764,0.46266992339437774,0.473481006104952
OE-034,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.310294202081477,0.734421606486064,0.607202933335617
OE-034,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.20023308068916984,0.7790406201934689,0.8209644344070226
OE-035,open_ended_reasoning,WildChat-1M,not_applicable,gpt54,openai,gpt-5.4,5,0.5153651002072862,0.5029726087324444,0.4357523590396685
OE-035,open_ended_reasoning,WildChat-1M,not_applicable,gpt54mini,openai,gpt-5.4-mini,5,0.5156407462806957,0.5015242197035558,0.488612340099045
SD-001,structured_decision_support,OULAD,Distinction,gpt54,openai,gpt-5.4,5,0.4889816551981281,0.4872893065352073,0.5687008186338085
SD-001,structured_decision_support,OULAD,Distinction,gpt54mini,openai,gpt-5.4-mini,5,0.4424236877186514,0.5831949944380346,0.5513265990211105
SD-002,structured_decision_support,OULAD,Fail,gpt54,openai,gpt-5.4,5,0.42573873763629966,0.5964932157139268,0.6082370279135285
SD-002,structured_decision_support,OULAD,Fail,gpt54mini,openai,gpt-5.4-mini,5,0.4039041787106211,0.6110934415583866,0.5826984917609008
SD-003,structured_decision_support,OULAD,Pass,gpt54,openai,gpt-5.4,5,0.4829319824484526,0.5068570089737745,0.48742811770106276
SD-003,structured_decision_support,OULAD,Pass,gpt54mini,openai,gpt-5.4-mini,5,0.4467818649275233,0.5061039935456394,0.5719461667245963
SD-004,structured_decision_support,OULAD,Distinction,gpt54,openai,gpt-5.4,5,0.4498774634535455,0.5777800923614903,0.5201022660923893
SD-004,structured_decision_support,OULAD,Distinction,gpt54mini,openai,gpt-5.4-mini,5,0.4329704568084855,0.5519804490117173,0.5479515972252161
SD-005,structured_decision_support,OULAD,Withdrawn,gpt54,openai,gpt-5.4,5,0.40562886449074964,0.5777754683760408,0.6478671930851461
SD-005,structured_decision_support,OULAD,Withdrawn,gpt54mini,openai,gpt-5.4-mini,5,0.4050034383667633,0.5983029669402149,0.5954421722043891
SD-006,structured_decision_support,OULAD,Pass,gpt54,openai,gpt-5.4,5,0.5111514570835899,0.463262176207894,0.4573889773499633
SD-006,structured_decision_support,OULAD,Pass,gpt54mini,openai,gpt-5.4-mini,5,0.40173033858746116,0.6338074527018251,0.5495507514507139
SD-007,structured_decision_support,OULAD,Distinction,gpt54,openai,gpt-5.4,5,0.40904256903083847,0.5381380211753605,0.6238727278681966
SD-007,structured_decision_support,OULAD,Distinction,gpt54mini,openai,gpt-5.4-mini,5,0.3949079046052807,0.5861338225571309,0.7138195508403617
SD-008,structured_decision_support,OULAD,Pass,gpt54,openai,gpt-5.4,5,0.5176336436297827,0.4386637498152065,0.5415421892770517
SD-008,structured_decision_support,OULAD,Pass,gpt54mini,openai,gpt-5.4-mini,5,0.49623793111313663,0.4787789164762204,0.47466270440324104
SD-009,structured_decision_support,OULAD,Withdrawn,gpt54,openai,gpt-5.4,5,0.4122615494652034,0.5813697983802991,0.5542679091839556
SD-009,structured_decision_support,OULAD,Withdrawn,gpt54mini,openai,gpt-5.4-mini,5,0.4599012713231404,0.5193479876663011,0.5571686507561866
SD-010,structured_decision_support,OULAD,Distinction,gpt54,openai,gpt-5.4,5,0.47813975666559366,0.5373594302302513,0.5414494206625586
SD-010,structured_decision_support,OULAD,Distinction,gpt54mini,openai,gpt-5.4-mini,5,0.38805062510509997,0.6047614800126755,0.602791828832141
SD-011,structured_decision_support,OULAD,Fail,gpt54,openai,gpt-5.4,5,0.47212333820436714,0.5604567079152336,0.530859538355317
SD-011,structured_decision_support,OULAD,Fail,gpt54mini,openai,gpt-5.4-mini,5,0.42002811213087793,0.5375560290521686,0.5515538921318655
SD-012,structured_decision_support,OULAD,Fail,gpt54,openai,gpt-5.4,5,0.6088203945794862,0.42554908213312204,0.31171498048830204
SD-012,structured_decision_support,OULAD,Fail,gpt54mini,openai,gpt-5.4-mini,5,0.4003743735349352,0.5425780109637882,0.6548798897076591
SD-013,structured_decision_support,OULAD,Distinction,gpt54,openai,gpt-5.4,5,0.5201097808735501,0.5038622273979966,0.4735780268320734
